,CreatedTime,Bp
295,0911.19:01:13.664439404,105.11988993711
296,0911.19:01:14.69007626,78.14858490566
297,0911.19:01:14.692371373,114.71108490566
298,0911.19:01:14.696621718,73.392295597484
299,0911.19:01:14.697194421,119.46147798742
300,0911.19:01:15.711397211,68.256682389937
301,0911.19:01:15.712427387,119.8840408805
302,0911.19:01:15.713544646,69.048742138365
303,0911.19:01:15.714054611,130.05306603774
304,0911.19:01:16.736692509,71.507468553459
305,0911.19:01:16.737252962,116.89268867925
306,0911.19:01:16.738846275,67.745676100629
307,0911.19:01:16.739372697,117.52358490566
308,0911.19:01:17.761784153,73.636006289308
309,0911.19:01:17.765038895,115.05110062893
310,0911.19:01:17.765897013,79.270833333333
311,0911.19:01:17.765925877,104.6088836478
312,0911.19:01:18.78494805,86.493710691824
313,0911.19:01:18.785407558,90.430424528302
314,0911.19:01:18.786914053,92.775157232704
315,0911.19:01:18.787453184,73.598663522013
316,0911.19:01:19.809712322,105.12578616352
317,0911.19:01:19.811766382,67.798742138365
318,0911.19:01:19.812598684,117.81446540881
319,0911.19:01:19.812624135,65.564072327044
320,0911.19:01:20.842923915,121.50943396226
321,0911.19:01:20.845822735,63.624213836478
322,0911.19:01:20.845860131,116.70400943396
323,0911.19:01:20.845876599,64.07429245283
324,0911.19:01:21.86030931,117.70047169811
325,0911.19:01:21.860877625,68.610455974843
326,0911.19:01:21.861664246,117.7751572327
327,0911.19:01:21.861688683,72.586477987421
328,0911.19:01:22.88292014,113.83058176101
329,0911.19:01:22.886096652,75.813679245283
330,0911.19:01:22.88693874,107.19143081761
331,0911.19:01:22.886967655,79.457547169811
332,0911.19:01:23.909229068,100.23191823899
333,0911.19:01:23.909268061,86.56643081761
334,0911.19:01:23.910595508,92.057783018868
335,0911.19:01:23.911619861,97.651336477987
336,0911.19:01:24.936607541,86.745283018868
337,0911.19:01:24.937602148,108.18592767296
338,0911.19:01:24.937633312,79.166666666667
339,0911.19:01:24.94402488,117.80856918239
340,0911.19:01:25.9564477,75.990566037736
341,0911.19:01:25.957010956,121.49371069182
342,0911.19:01:25.959674529,73.150550314465
343,0911.19:01:25.960708918,120.49135220126
344,0911.19:01:26.98391551,64.111635220126
345,0911.19:01:26.99358092,118.7873427673
346,0911.19:01:26.994107899,70.017688679245
347,0911.19:01:26.994590557,122.31132075472
348,0911.19:01:27.733531377,133.34512578616
349,0911.19:01:27.734188281,67.80070754717
350,0911.19:01:27.735617294,111.67649371069
351,0911.19:01:27.73661581,87.439072327044
352,0911.19:01:28.006455867,83.993710691824
353,0911.19:01:28.007003889,114.3376572327
354,0911.19:01:28.007813506,72.694575471698
355,0911.19:01:28.007840093,103.66941823899
356,0911.19:01:29.033910594,103.90133647799
357,0911.19:01:29.035606841,104.91155660377
358,0911.19:01:29.035637119,90.251572327044
359,0911.19:01:29.035653153,87.17177672956
360,0911.19:01:30.058794851,98.545597484277
361,0911.19:01:30.058813727,74.935141509434
362,0911.19:01:30.05882924,109.91745283019
363,0911.19:01:30.058844688,68.178066037736
364,0911.19:01:31.080687003,117.5766509434
365,0911.19:01:31.08229997,65.196540880503
366,0911.19:01:31.082331604,124.01729559748
367,0911.19:01:31.082348043,66.676493710692
368,0911.19:01:32.105994234,125.59158805031
369,0911.19:01:32.10654028,72.773191823899
370,0911.19:01:32.10816319,125.37342767296
371,0911.19:01:32.108779598,77.441037735849
372,0911.19:01:33.128196148,115.64465408805
373,0911.19:01:33.130544115,70.064858490566
374,0911.19:01:33.131521595,96.161556603774
375,0911.19:01:33.131547745,84.504716981132
376,0911.19:01:34.153436216,93.675314465409
377,0911.19:01:34.153991472,111.54088050314
378,0911.19:01:34.154786639,68.43356918239
379,0911.19:01:34.154812083,114.23545597484
380,0911.19:01:35.187577187,65.908018867925
381,0911.19:01:35.1888517,117.60809748428
382,0911.19:01:35.18887808,66.548742138365
383,0911.19:01:35.188894635,118.79716981132
384,0911.19:01:36.202020449,69.913522012579
385,0911.19:01:36.202664849,110.72720125786
386,0911.19:01:36.204063203,75.833333333333
387,0911.19:01:36.205093316,91.57429245283
388,0911.19:01:37.227021915,81.774764150943
389,0911.19:01:37.227578575,79.031053459119
390,0911.19:01:37.229156995,99.202044025157
391,0911.19:01:37.229668476,67.590408805031
392,0911.19:01:38.252779409,118.01100628931
393,0911.19:01:38.253330647,63.968160377358
394,0911.19:01:38.254836002,121.49371069182
395,0911.19:01:38.2553186,65.595518867925
396,0911.19:01:39.276790578,114.54599056604
397,0911.19:01:39.277477996,71.232311320755
398,0911.19:01:39.278944208,99.638364779874
399,0911.19:01:39.279510719,86.340408805031
400,0911.19:01:40.305393948,74.282625786164
401,0911.19:01:40.306656258,112.51768867925
402,0911.19:01:40.306683293,63.319575471698
403,0911.19:01:40.306699826,119.70125786164
404,0911.19:01:41.327360099,65.540487421384
405,0911.19:01:41.328625635,105.43238993711
406,0911.19:01:41.328659369,78.388364779874
407,0911.19:01:41.329295805,74.581367924528
408,0911.19:01:42.349351512,106.28144654088
409,0911.19:01:42.350263156,61.293238993711
410,0911.19:01:42.351327749,111.54284591195
411,0911.19:01:42.351823192,62.726022012579
412,0911.19:01:43.375447181,91.743317610063
413,0911.19:01:43.377476757,79.544025157233
414,0911.19:01:43.378017472,62.057783018868
415,0911.19:01:43.379611191,109.00157232704
416,0911.19:01:44.399395926,60.564072327044
417,0911.19:01:44.400926442,106.68828616352
418,0911.19:01:44.406418887,66.957547169811
419,0911.19:01:44.407111321,86.446540880503
420,0911.19:01:45.424742108,85.041273584906
421,0911.19:01:45.425426314,61.163522012579
422,0911.19:01:45.427031403,104.75039308176
423,0911.19:01:45.428354847,58.673349056604
424,0911.19:01:46.448011977,105.63875786164
425,0911.19:01:46.448594901,64.783805031447
426,0911.19:01:46.449400861,91.305031446541
427,0911.19:01:46.449427087,79.868317610063
428,0911.19:01:47.47451915,70.92570754717
429,0911.19:01:47.475366272,102.84787735849
430,0911.19:01:47.475392975,60.404874213836
431,0911.19:01:47.475865248,112.65919811321
432,0911.19:01:48.496959137,62.045990566038
